Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Regular price,Categories,Tags,Images,Cross-sells,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
variable,CMX-CODEX,Codex Usage Meter Desk Display,1,0,visible,The Codex Usage Meter is a tiny desk display that shows your OpenAI Codex 5-hour and weekly limits at a glance. Set up with just your phone. Also works with Claude Code.,"<p>The <strong>Codex Usage Meter</strong> from Encinitas 3D puts your OpenAI Codex limits on your desk. If you live in Codex, you know the question: <em>how much of my 5-hour limit is left before this task finishes?</em> codeMeter answers it without opening a terminal. It's a small, always-on color display that shows your 5-hour limit and your weekly limit as big percentages with segmented bars, reset countdowns, and amber and red warnings when you're running ahead of the clock. It runs on its own over Wi-Fi. No laptop, no app, no command line, nothing to copy and paste. Set it up once with your phone and it quietly keeps you honest.</p>
<h3>How the Codex Usage Meter sets up (about 5 minutes)</h3>
<ol><li><strong>Plug it in.</strong> Any USB-C charger or port. The screen shows <strong>STEP 1</strong> with a QR code.</li><li><strong>Join its Wi-Fi.</strong> On your phone, join <code>codeMeter-XXXXXX</code> (the name is on the screen, or scan the QR). A setup page opens; if not, visit <code>http://192.168.4.1</code>.</li><li><strong>Pick OpenAI Codex.</strong> Tap <strong>Setup Device</strong>. Under ""Which do you use?"" tap <strong>OpenAI Codex</strong>, choose your home Wi-Fi, enter its password, and <strong>Save</strong>.</li><li><strong>Sign in with the code.</strong> codeMeter restarts and shows a blue <strong>SIGN IN</strong> screen with a QR code and a short code like <code>ABC1-2DEFG</code>. On your phone, open <code>auth.openai.com/codex/device</code> (or scan the QR), sign in to ChatGPT, and type the code.</li><li><strong>Done.</strong> The screen says ""You're all set"" and your usage appears within seconds.</li></ol><p><em>The code is valid for 15 minutes. If it expires, press button B for a new one. A printed quick-start card is in the box.</em></p>
<h3>What you need</h3>
<table><thead><tr><th></th><th>OpenAI Codex</th><th>Claude Code (also supported)</th></tr></thead><tbody><tr><td><strong>Plan</strong></td><td>A ChatGPT plan that includes Codex. Personal plans such as Plus or Pro; verified on ChatGPT Plus. Business and Enterprise workspaces are not yet verified.</td><td>An active paid Claude plan (Pro or Max). Team/Enterprise accounts see a monthly usage view instead of 5-hour/weekly.</td></tr><tr><td><strong>Computer</strong></td><td>Not needed</td><td>Needed once: the Claude CLI, to run <code>claude setup-token</code></td></tr><tr><td><strong>Command line / token</strong></td><td>None</td><td>One command, one token to paste (or use the pairing helper at encinitas3d.com/codemeter)</td></tr><tr><td><strong>Phone</strong></td><td>Yes, to join setup Wi-Fi and sign in</td><td>Yes, to join setup Wi-Fi</td></tr><tr><td><strong>Wi-Fi</strong></td><td>2.4 GHz with WPA2 (not 5 GHz-only, not WPA3-only)</td><td>Same</td></tr><tr><td><strong>Effect on your quota</strong></td><td>None. It reads ChatGPT's own usage endpoint (the one Codex's <code>/status</code> uses) and makes no model calls.</td><td>A tiny request on Anthropic's cheapest model per update, a negligible slice of your allowance</td></tr></tbody></table>
<h3>What to expect</h3>
<ul><li><strong>Setup:</strong> about 5 minutes, entirely on your phone.</li><li><strong>The screen:</strong> ""5h limit"" and ""Weekly limit"" percentages, segmented bars, a thin elapsed-time marker, reset time plus countdown, and amber/red pace warnings. Codex devices use a blue <code>&gt;_ codex</code> theme, so they're easy to tell apart from an orange Claude one.</li><li><strong>Refresh:</strong> every 60 seconds. Firmware updates install themselves over Wi-Fi (it checks every 6 hours).</li><li><strong>If the login lapses:</strong> the device renews its ChatGPT sign-in on its own (about every 10 days). If that ever fails, the screen says <strong>""Codex login expired""</strong>. Hold button <strong>B</strong> about 7 seconds and sign in again on the device. Your Wi-Fi is kept.</li></ul>
<h3>What the Codex Usage Meter shows</h3>
<ul><li><strong>5h limit</strong> and <strong>Weekly limit</strong>, as big readable percentages.</li><li>A segmented bar for each, with a thin elapsed-time marker so you can see if you're spending faster than the window is passing.</li><li><strong>Pace warnings:</strong> the bar stays blue; the percentage, the card outline and corner dot, and the time line turn amber when you're running ahead and red when you're clearly overspending.</li><li><strong>Reset countdowns:</strong> ""resets 4:35pm in 2h 14m"", ""resets Thu 9am in 4d 7h"".</li><li>A <strong>Status</strong> screen (hold button A) with Wi-Fi, signal, IP, uptime, and ""Service: Codex (plus)"".</li></ul>
<h3>What's in the box</h3>
<ul><li><strong>codeMeter</strong>: an M5Stack Core (ESP32) with a 320×240 color LCD and three buttons, <strong>pre-flashed and ready</strong>.</li><li>A <strong>3D-printed desk stand</strong>, printed to order here in Encinitas, CA.</li><li>A <strong>USB-C cable</strong>.</li><li>A <strong>printed quick-start card</strong> for the Codex setup.</li><li>Optional <strong>Standard</strong> or <strong>All Day</strong> battery for cord-free placement (choose Battery above).</li></ul>
<h3>Switching between Codex and Claude</h3>
<p>One firmware supports both. To switch, hold button <strong>C</strong> for about 7 seconds (a red RESET screen appears at 5 seconds; keep holding) to wipe the device, set it up again, and pick the other service. No reflashing.</p>
<h3>Privacy &amp; security (we're upfront about this)</h3>
<ul><li>Your ChatGPT sign-in is stored <strong>on the device only</strong>. There's no Encinitas 3D server and no account with us.</li><li>The device connects directly to <strong>OpenAI</strong> (or <strong>Anthropic</strong> if you pick Claude) over encrypted connections, plus <strong>GitHub</strong> for firmware updates, <strong>internet time servers</strong>, and <strong>ip-api.com</strong> for a timezone lookup. That's the complete list.</li><li><strong>You stay in control:</strong> to cut off a lost device, sign it out from your ChatGPT account's security settings (for example ""Log out of all devices""). Before lending or reselling, wipe it by holding button <strong>C</strong> for about 7 seconds.</li></ul>
<h3>Specs</h3>
<table><tbody><tr><td><strong>Display</strong></td><td>320×240 IPS color LCD</td></tr><tr><td><strong>Compute</strong></td><td>ESP32 (M5Stack Core Basic)</td></tr><tr><td><strong>Power</strong></td><td>USB-C (5V); runs from any charger or PC port</td></tr><tr><td><strong>Battery</strong></td><td>None in the USB-C model (USB-powered); Standard or All Day battery optional</td></tr><tr><td><strong>Connectivity</strong></td><td>2.4 GHz Wi-Fi (WPA2)</td></tr><tr><td><strong>Refresh</strong></td><td>every 60 seconds</td></tr><tr><td><strong>Services</strong></td><td>OpenAI Codex or Claude Code (choose at setup)</td></tr><tr><td><strong>Buttons</strong></td><td>A: light/dark, hold for Status · B: brightness, hold to sign in again · C: screen on/off, hold to reset</td></tr><tr><td><strong>Setup</strong></td><td>phone only for Codex; phone + a one-time <code>claude setup-token</code> for Claude</td></tr><tr><td><strong>Updates</strong></td><td>automatic over Wi-Fi; USB recovery at bricekevin.github.io/fw</td></tr><tr><td><strong>Stand</strong></td><td>3D-printed, made to order</td></tr></tbody></table>
<h3>Good to know</h3>
<ul><li>One device shows <strong>one account</strong> on <strong>one service</strong> at a time.</li><li>The Codex sign-in code on the screen is valid for <strong>15 minutes</strong>. Press <strong>B</strong> for a new one.</li><li>Behind an ad or DNS blocker (Pi-hole, AdGuard)? Allow <code>chatgpt.com</code>, <code>auth.openai.com</code>, and <code>ip-api.com</code>.</li></ul>
<p>The Codex Usage Meter ships pre-flashed and ready: plug it in, pick OpenAI Codex, and sign in on your phone.</p>
<p><small><strong>Not affiliated with OpenAI or Anthropic.</strong> codeMeter is an independent hardware project. OpenAI, ChatGPT, and Codex are trademarks of OpenAI; Claude and Anthropic are trademarks of Anthropic. codeMeter is not made by, endorsed by, or affiliated with either company. It simply reads usage figures your own account is entitled to see.</small></p>",taxable,1,,0,0,0.7,4,4,3,,Smart Devices,"codex usage meter, openai codex, ai usage meter, codex desk display, developer gift, programmer gift, desk gadget, esp32 display, claude code","https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/main-zoom.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/main.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/alert.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/login.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/hero-blue.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/desk-evening.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/home-office.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/studio-sq.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/studio-ang.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/pace.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/black-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/black-jumbo.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/blue-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/blue-jumbo.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/glow-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/gold-usb.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/gold-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/orange-usb.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/rainbow-usb.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/rainbow-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/red-usb.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/red-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/red-jumbo.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/wood-usb.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/wood-standard.jpg,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/wood-jumbo.jpg","id:7384, id:473",,0,Finish,"Black, Blue, Glow, Gold, Orange, Rainbow, Red, Wood",1,1,Black,Battery,"USB-C, Standard, All Day",1,1,USB-C
variation,CMX-CODEX-BLACK-USBC,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,129,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/black-usb.jpg,,CMX-CODEX,1,Finish,Black,,1,,Battery,USB-C,,1,
variation,CMX-CODEX-BLACK-STDB,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,149,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/black-standard.jpg,,CMX-CODEX,2,Finish,Black,,1,,Battery,Standard,,1,
variation,CMX-CODEX-BLACK-ADB,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,159,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/black-jumbo.jpg,,CMX-CODEX,3,Finish,Black,,1,,Battery,All Day,,1,
variation,CMX-CODEX-BLUE-USBC,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,129,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/blue-usb.jpg,,CMX-CODEX,4,Finish,Blue,,1,,Battery,USB-C,,1,
variation,CMX-CODEX-BLUE-STDB,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,149,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/blue-standard.jpg,,CMX-CODEX,5,Finish,Blue,,1,,Battery,Standard,,1,
variation,CMX-CODEX-BLUE-ADB,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,159,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/blue-jumbo.jpg,,CMX-CODEX,6,Finish,Blue,,1,,Battery,All Day,,1,
variation,CMX-CODEX-GLOW-STDB,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,149,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/glow-standard.jpg,,CMX-CODEX,7,Finish,Glow,,1,,Battery,Standard,,1,
variation,CMX-CODEX-GOLD-USBC,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,129,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/gold-usb.jpg,,CMX-CODEX,8,Finish,Gold,,1,,Battery,USB-C,,1,
variation,CMX-CODEX-GOLD-STDB,,1,0,visible,,,taxable,1,,0,0,0.7,4,4,3,149,,,https://cdn.jsdelivr.net/gh/bricekevin/sm-listing-img@main/codemeter-codex/gold-standard.jpg,,CMX-CODEX,9,Finish,Gold,,1,,Battery,Standard,,1,
